"","GVKEY","conm","EPR","AGR","MktCap"
"1",1004,"AAR CORP",0.0140667554301593,-0.773001224210137,20.905861322885
"2",1062,"ASA GOLD AND PRECIOUS METALS",-0.057199692677137,-0.603290291089812,19.155569016533
"3",1072,"AVX CORP",0.0627396937520651,-0.156970953584502,21.7351188622961
"4",1075,"PINNACLE WEST CAPITAL CORP",0.0548455388881824,0.0562040721035387,22.885165563991
"5",1076,"AARON'S INC",0.0597265118480916,0.374939823668169,21.5499178204024
"6",1078,"ABBOTT LABORATORIES",0.0273687375286117,-0.0472365400550506,24.7587958786818
"7",1094,"ACETO CORP",0.0454628381849568,-0.176177810963975,19.9574453776447
"8",1104,"ACME UNITED CORP",0.075208766709896,0.101825331194366,18.2584000213752
"9",1117,"RELM WIRELESS CORP",0.0291366105619378,0.58439707645915,17.9928741634064
"10",1161,"ADVANCED MICRO DEVICES",-0.13505095045371,-0.20265586941474,23.0178389193303
"11",1177,"AETNA INC",0.0599911411812418,0.0705025441124345,24.4986513049589
"12",1209,"AIR PRODUCTS & CHEMICALS INC",0.0408071184617679,0.0756224306823088,24.2203272486459
"13",1210,"AIR T INC",0.0149357121234852,-0.463751478324701,17.5341410992299
"14",1234,"ATRION CORP",0.037560411175683,0.00854111619921868,20.6454478527394
"15",1254,"MATSON INC",0.0520776048852878,0.112242376845716,21.1408116782556
"16",1257,"ALEXANDER'S INC",0.0363133411140846,0.132296438710822,21.5024063940093
"17",1266,"ALICO INC",0.0187625694635061,-0.633704014704846,19.4551521213145
"18",1274,"ALLEGHANY CORP",0.0705068012391062,-0.171544333339276,22.9608994382089
"19",1300,"HONEYWELL INTERNATIONAL INC",0.0453703027439424,-0.174499992560697,25.4840129019418
"20",1327,"SKYWORKS SOLUTIONS INC",0.0537549028696355,0.327142394438492,23.6495349498734
"21",1380,"HESS CORP",-0.154397946103046,-0.914371236432957,23.7047073660005
"22",1393,"AMERCO",0.0594338500362252,0.0926783825751448,22.7347461426775
"23",1410,"ABM INDUSTRIES INC",0.0357155174733393,0.0998914451233701,21.7345615784288
"24",1414,"PRIMERICA INC",0.0682661898338557,0.112552902291445,21.8743463270284
"25",1439,"US ECOLOGY INC",0.0362984624808037,0.00365421885163164,20.7910580746276
"26",1440,"AMERICAN ELECTRIC POWER CO",0.0473362559802615,0.513318586734043,24.3119054186135
"27",1447,"AMERICAN EXPRESS CO",0.0698034259315651,-0.04801695971618,24.9274855086944
"28",1487,"AMERICAN INTERNATIONAL GROUP",0.0371192152906012,-1.03457087993602,24.8977360904757
"29",1526,"AMERICAN NATIONAL INSURANCE",0.074365043590254,-0.136834861771963,21.933383169932
"30",1545,"AMERICAN REALTY INVESTORS",-0.0754815464333076,-0.326754383029157,18.2001260885533
"31",1559,"AMERICAN SHARED HSPTL SERV",-0.0563477675832504,-0.572202788120266,16.723383822663
"32",1562,"AMERICAN SOFTWARE  -CL A",0.0382774257838662,0.33950453711025,19.5993271864113
"33",1585,"AMERICAN VANGUARD CORP",0.0180077649270021,0.640992891237615,20.1477529698731
"34",1598,"AMETEK INC",0.044356856502552,0.0770415265301306,23.5416073168892
"35",1602,"AMGEN INC",0.0463057927685503,-0.101556156410503,25.5560161182173
"36",1618,"AMREP CORP",-0.124485293578721,0.411636599360035,17.6980796236526
"37",1632,"ANALOG DEVICES",0.036004412182985,0.0813707466802179,24.2394710528794
"38",1659,"ANDERSONS INC",0.0223597453343226,-1.50766730203788,20.9558338779132
"39",1661,"NABORS INDUSTRIES LTD",-0.175969194517103,0.82837745388926,22.2615020115721
"40",1686,"APOGEE ENTERPRISES INC",0.0489502586753858,0.293304190064833,21.2179496274855
"41",1690,"APPLE INC",0.0706400282572518,0.0956635547473169,27.3953621957386
"42",1704,"APPLIED MATERIALS INC",0.0543929506376791,0.50663708355135,24.8145356770514
"43",1712,"TRECORA RESOURCES",0.0542129793237738,0.125992183560835,19.6310571016965
"44",1722,"ARCHER-DANIELS-MIDLAND CO",0.0651414378564199,-0.242992070826931,23.98739988172
"45",1743,"ARCBEST CORP",0.0518311912295413,0.549410732143396,20.6363704532293
"46",1783,"ARTS WAY MFG INC",-0.0111249136960585,-0.943885624127256,16.4073452442072
"47",1820,"ASTRONOVA INC",0.0404764325192945,-0.0183600975698756,18.4544264388163
"48",1823,"ASTRONICS CORP",0.0534948801091764,-0.0488847403285914,20.7077891687818
"49",1837,"SOUTHERN CO GAS",0.066502033718877,-0.372516114219081,22.7620489605704
"50",1891,"AUTOMATIC DATA PROCESSING",0.0373104477522681,0.0512492166810775,24.5430573186416
"51",1913,"AVERY DENNISON CORP",0.0445531769609537,0.0527322361342679,23.0374813990656
"52",1920,"AVON PRODUCTS",-0.196744491588297,0.0996955107798769,21.5142218911553
"53",1926,"AZZ INC",0.0515934786524293,-0.0121503977809253,21.143809096235
"54",1932,"BRITISH AMER TOBACCO PLC",0.0548823602592711,0.10791603084086,25.3775071884765
"55",1968,"BADGER METER INC",0.0319703469673519,0.060406958521623,20.796467087438
"56",1976,"BAKER HUGHES INC",-0.0414407439071043,-0.893426228342952,24.0391696380887
"57",1979,"BALCHEM CORP  -CL B",0.0263000227937244,0.0308428427346268,21.7035191841562
"58",1982,"BALDWIN & LYONS  -CL B",0.0724989683198439,0.00575513013976614,19.7559891318778
"59",1988,"BALL CORP",0.0333425858179863,-0.188317463244347,23.2979458171971
"60",2005,"BANK OF HAWAII CORP",0.05517962208125,0.0469320451987464,22.0135353304335
"61",2019,"BANK OF NEW YORK MELLON CORP",0.0639629698216074,0.161093478405957,24.7230063821725
"62",2049,"BARNES GROUP INC",0.0582035945868997,0.0613620494869039,21.6598652797995
"63",2052,"BARNWELL INDUSTRIES",-0.0194161676030216,-1.45883838383838,16.5168333607821
"64",2055,"BARRICK GOLD CORP",-0.176045880337334,-0.626630446006973,23.6478174468262
"65",2080,"BASSETT FURNITURE INDS",0.0502343077667814,0.392956589580867,19.8373568695583
"66",2101,"APPLIED INDUSTRIAL TECH INC",0.0497123716009067,0.946091205510128,21.5585074765786
"67",2111,"BECTON DICKINSON & CO",0.0323103220141963,0.0211166241987644,24.5224612932378
"68",2124,"BEL FUSE INC",-0.0179421250362358,-0.664177053748244,19.7334208641965
"69",2137,"BCE INC",0.0563525512984924,0.0770556374151124,24.6457750529849
"70",2154,"BEMIS CO INC",0.0457116153797406,-0.202128609812899,22.1909862561616
"71",2176,"BERKSHIRE HATHAWAY",0.0625190105262298,0.0424112141395084,26.7196857692773
"72",2220,"BIO-RAD LABORATORIES INC",0.0195746879021623,-0.0962152741349852,22.408051556621
"73",2269,"BLOCK H & R INC",0.0713620765940688,-0.0506089182804677,22.3594954432112
"74",2270,"ENSCO PLC",-0.16100902895821,-1.04351987405625,21.8035939848339
"75",2282,"BOB EVANS FARMS",0.0180634217651385,0.0652466020766345,21.0017949283771
"76",2285,"BOEING CO",0.051263926276657,0.202359908268609,25.8946856633328
"77",2312,"ROBERT HALF INTL INC",0.0505651622698641,0.0589620604039763,22.5532740182416
"78",2337,"RESOLUTE FOREST PRODUCTS INC",-0.196502258447883,-0.248693354789288,20.7155259612362
"79",2342,"BOWL AMERICA INC  -CL A",0.0256834306644162,0.213514109347443,18.1178440650002
"80",2369,"BROOKFIELD ASSET MANAGEMENT",0.0723321887522323,-0.284392807529708,24.17734423177
"81",2390,"BRIDGFORD FOODS CORP",0.0699628037806492,-1.63175836920002,18.5705892958074
"82",2393,"BRIGGS & STRATTON",0.0409788591260873,0.448349143678995,20.7537931021151
"83",2403,"BRISTOL-MYERS SQUIBB CO",0.0266169045684722,0.813066150679814,25.3052869384914
"84",2408,"TELUS CORP",0.0543950644724454,-0.0697852303899975,23.9510022902468
"85",2410,"BP PLC",-0.0114938934764183,-1.88181111479191,25.5199231155819
"86",2411,"BT GROUP PLC",0.0625067153309828,-0.0700184884002845,24.4126713506667
